Image Name,Sigma,Intensity,Detail,PSNR (dB)
crab,10.0,1.0,85.0,27.18936033123403
crab,10.0,1.0,90.0,28.213076385120093
crab,10.0,1.0,95.0,27.07236335274405
crab,10.0,2.0,0.0,27.66464772384161
crab,10.0,2.0,5.0,29.613784937309624
crab,10.0,2.0,10.0,29.04677514253365
crab,10.0,2.0,15.0,29.215756294673962
crab,10.0,2.0,20.0,28.767381267276768
crab,10.0,2.0,25.0,28.330130515774666
crab,10.0,2.0,30.0,28.09768861443777
crab,10.0,2.0,35.0,27.60735794435916
crab,10.0,2.0,40.0,27.83790566516501
crab,10.0,2.0,45.0,27.89502523631257
crab,10.0,2.0,50.0,28.468534353642454
crab,10.0,2.0,55.0,28.003357419993048
crab,10.0,2.0,60.0,28.380642255938568
crab,10.0,2.0,65.0,25.964517480010894
crab,10.0,2.0,70.0,28.16098589953156
crab,10.0,2.0,75.0,28.39616658514678
crab,10.0,2.0,80.0,27.416693821924053
crab,10.0,2.0,85.0,28.29976496498582
crab,10.0,2.0,90.0,27.973035176583384
crab,10.0,2.0,95.0,28.01613451621045
crab,10.0,3.0,0.0,27.3598193427774
crab,10.0,3.0,5.0,31.56918339080617
crab,10.0,3.0,10.0,30.67000245241527
crab,10.0,3.0,15.0,29.52252361047585
crab,10.0,3.0,20.0,29.524281933324648
crab,10.0,3.0,25.0,28.688376683297037
crab,10.0,3.0,30.0,29.15213297334989
crab,10.0,3.0,35.0,28.643570625001907
crab,10.0,3.0,40.0,28.464020854842943
crab,10.0,3.0,45.0,28.50938398278692
crab,10.0,3.0,50.0,28.570776100106396
crab,10.0,3.0,55.0,28.17539661725998
crab,10.0,3.0,60.0,27.163414616155514
crab,10.0,3.0,65.0,28.418437370662765
crab,10.0,3.0,70.0,27.96059840662503
crab,10.0,3.0,75.0,28.163229623052697
crab,10.0,3.0,80.0,28.088635929856416
crab,10.0,3.0,85.0,28.068897364516875
crab,10.0,3.0,90.0,28.14882541766105
crab,10.0,3.0,95.0,27.92800785448565
crab,10.0,4.0,0.0,27.814421508669067
crab,10.0,4.0,5.0,31.750289464679557
crab,10.0,4.0,10.0,30.964953496428734
crab,10.0,4.0,15.0,29.804028551147557
crab,10.0,4.0,20.0,29.03099513379509
crab,10.0,4.0,25.0,29.287727881578864
crab,10.0,4.0,30.0,28.535981986660985
crab,10.0,4.0,35.0,28.81707276501144
crab,10.0,4.0,40.0,28.671169700839812
crab,10.0,4.0,45.0,28.308076359175296
crab,10.0,4.0,50.0,28.632902999175105
crab,10.0,4.0,55.0,28.44420384788773
crab,10.0,4.0,60.0,27.73524020487163
crab,10.0,4.0,65.0,27.274816862908825
crab,10.0,4.0,70.0,28.01368438007805
crab,10.0,4.0,75.0,27.3589943713771
crab,10.0,4.0,80.0,27.499428917959108
crab,10.0,4.0,85.0,27.73646682747749
crab,10.0,4.0,90.0,28.32651006520584
crab,10.0,4.0,95.0,27.74349965633745
crab,10.0,5.0,0.0,27.980974327172863
crab,10.0,5.0,5.0,30.741767743754096
crab,10.0,5.0,10.0,30.945182113051732
crab,10.0,5.0,15.0,30.31137888839252
crab,10.0,5.0,20.0,28.682448200650953
crab,10.0,5.0,25.0,27.851213044697648
crab,10.0,5.0,30.0,29.072903833695225
crab,10.0,5.0,35.0,28.926173990594396
crab,10.0,5.0,40.0,28.657206740549768
crab,10.0,5.0,45.0,28.02168914331078
crab,10.0,5.0,50.0,28.672900323585946
crab,10.0,5.0,55.0,27.90455539024869
crab,10.0,5.0,60.0,28.27041585228003
crab,10.0,5.0,65.0,27.601008753664466
crab,10.0,5.0,70.0,27.938886037892004
crab,10.0,5.0,75.0,26.820343812765426
crab,10.0,5.0,80.0,28.192231576040548
crab,10.0,5.0,85.0,28.205547498889967
crab,10.0,5.0,90.0,27.50587778611209
crab,10.0,5.0,95.0,27.836958421478247
crab,10.0,6.0,0.0,27.606302581599003
crab,10.0,6.0,5.0,31.503179579006968
crab,10.0,6.0,10.0,31.432591491753808
crab,10.0,6.0,15.0,29.34957030366517
crab,10.0,6.0,20.0,30.045090005291588
crab,10.0,6.0,25.0,29.344132575859042
crab,10.0,6.0,30.0,27.986203451022615
